ID;VR;PNC01-Drehmoment;PNC03-Drehmoment;PNC05-Drehmoment;PresseSpindel1-Drehmoment;PresseSpindel2-Drehmoment;PNC01-Weg;PNC03-Weg;PNC05-Weg;L1;L2;L3;L4;L5;a1;a2;a3;a4;R1;R2;R3;R4
763;31;5,46;4,69;16,65;69,1;70,2;34,02;34,019;;18,18987674;10,20479499;25,16632503;5,724735215;17,35937015;125,3103666;121,0781597;97,66203838;99,11124616;3,699861642;2,221666609;2,564633297;3,435532883
764;31;5,48;4,64;16,3;70,7;70,9;34,02;34,019;;18,27815362;10,46466228;25,36217212;5,737817151;17,68722991;125,7123809;121,4847072;97,45178292;98,73214677;3,702974762;1,831843043;2,557519926;3,387945534
765;31;5,4;4,75;16,09;69,2;69,2;34,019;34,019;;18,23023717;10,38394684;25,36016617;5,73376845;17,50885505;125,6827261;121,5025996;97,30075118;98,51735263;3,749465668;1,960184155;2,500700679;3,402192724
766;31;5,44;4,76;16,11;65,6;69,7;34,02;34,019;;17,99249102;10,53937137;25,35321973;5,901401564;17,5328574;125,331261;121,3843764;98,18592331;99,72176611;3,606006332;1,91497307;2,500526173;3,325302971
767;31;5,29;4,74;15,98;64,8;70;34,019;34,019;;18,2241341;10,55778197;25,05834386;5,752074479;17,46542436;126,3248309;121,7717729;98,18177526;99,4933201;3,665603401;1,995555891;2,621651313;3,346895338
768;31;5,3;4,76;15,62;64,4;70;34,02;34,019;;18,34792043;10,55746939;25,35001752;5,76159698;17,75782389;126,3085116;121,9253084;97,17729401;98,57895684;3,643087388;1,864185312;2,534688133;3,249613166
769;31;5,49;4,62;15,78;63,9;70,4;34,019;34,019;;18,28511505;10,55036237;25,01501482;5,724823457;17,39973742;126,2530392;121,9607046;97,78998339;99,34393833;3,654200989;1,965489077;2,729730994;3,341008644
770;31;5,45;4,66;16,52;64,2;70,8;34,019;34,019;;18,11243017;10,46212054;25,19052447;5,730488437;17,29876743;125,7048503;121,7610814;97,50250244;98,4205675;3,742432401;1,977264142;2,651820943;3,455643835
771;31;5,39;4,7;17,41;64,8;70,6;34,019;34,019;;18,29604658;10,4146289;25,23019459;5,69201041;17,2261646;125,7924403;121,3604263;97,36036291;98,45137283;3,606155649;2,090476947;2,584525178;3,452291663
772;31;5,36;4,69;18,18;65,9;70,3;34,019;34,019;;18,16985648;10,36443793;25,25986686;5,789072836;17,23455866;125,7701765;121,5331408;97,46233889;98,42429431;3,757353458;2,072158313;2,50171405;3,428211294
773;31;5,41;4,74;18,26;64,9;70,2;34,019;34,019;;18,29464264;10,46767026;25,44078024;5,784175031;17,40089538;125,7336239;121,4403194;97,47953761;98,59366882;3,601758281;1,939520415;2,506231708;3,379375839
774;31;5,48;4,63;17,6;63,9;70,3;34,019;34,019;;18,10784203;10,39360402;25,19845248;5,675373039;17,27693981;125,6025841;121,525938;97,5663966;98,58486078;3,813600339;1,961868517;2,65817498;3,442951334
775;31;5,43;4,61;16,59;62,8;70,1;34,019;34,019;;18,12209941;10,52360832;25,41256893;5,679996376;17,45283121;125,7821906;121,657384;97,48673568;98,4606704;3,717819848;1,896850481;2,471215594;3,450436504
776;32;5,56;4,79;16,2;62,8;71;34,019;34,019;51,029;18,10413927;10,42699841;24,96535986;5,792564433;17,42662733;126,6817765;121,9983973;98,5089495;99,40297907;3,505326112;2,359573315;2,575997143;3,229065938
777;32;5,68;4,62;16,55;63,3;71,9;34,02;34,019;51,029;18,75186762;-9,152264681;15,92674789;5,591332334;7,419418252;88,09109283;99,55089292;101,207198;124,6059586;5,904658073;2,594753101;4,952287577;5,531648207
778;32;5,5;4,6;16,86;64,7;71,9;34,019;34,019;51,029;18,12883652;10,50639004;24,98986037;5,778176643;17,52522224;126,7159954;122,0791999;98,13840404;99,18722331;3,487248469;2,233096676;2,585061503;3,239651913
779;32;5,51;4,69;16,55;65,7;72;34,019;34,019;51,029;5,504049664;17,9430865;16,04671161;-8,495022344;7,641443138;126,3287777;133,8215442;89,16228795;77,94438584;4,102259831;3,082356266;4,252704695;4,560130944
780;32;5,5;4,61;15,96;66,3;72,1;34,02;34,019;51,029;5,450993262;17,91340632;15,98050039;-8,443175605;7,680894159;126,0640354;134,892326;88,42639274;78,24602553;4,061098483;3,239226326;4,323040063;4,518936369
781;32;5,56;4,7;15,51;66,4;71,7;34,02;34,019;51,029;5,471655862;17,93514456;15,96544925;-8,63602674;7,607580579;126,5303795;134,3027845;88,89689152;78,1054663;4,109590323;3,148945921;4,258162497;4,82600948
